nuts2_id,year,country
BE22,1993,BE
BE22,1994,BE
BE22,1995,BE
BE22,1996,BE
BE22,1997,BE
BE22,1998,BE
BE22,1999,BE
BE22,2000,BE
BE22,2001,BE
BE22,2002,BE
BE22,2003,BE
BE22,2004,BE
BE22,2005,BE
BE22,2006,BE
BE22,2007,BE
BE22,2008,BE
BE22,2009,BE
BE22,2010,BE
BE22,2011,BE
BE22,2012,BE
BE22,2013,BE
BE22,2014,BE
BE22,2015,BE
BE22,2016,BE
BE22,2017,BE
BE22,2018,BE
BE22,2019,BE
BE22,2020,BE
BE22,2021,BE
BE22,2022,BE
BE22,2023,BE
BE22,2024,BE
BE22,2025,BE
BE23,1986,BE
BE23,1987,BE
BE23,1988,BE
BE23,1989,BE
BE23,1990,BE
BE23,1991,BE
BE23,1992,BE
BE23,1993,BE
BE23,1994,BE
BE23,1995,BE
BE23,1996,BE
BE23,1997,BE
BE23,1998,BE
BE23,1999,BE
BE23,2000,BE
BE23,2001,BE
BE23,2002,BE
BE23,2003,BE
BE23,2004,BE
BE23,2005,BE
BE23,2006,BE
BE23,2007,BE
BE23,2008,BE
BE23,2009,BE
BE23,2010,BE
BE23,2011,BE
BE23,2012,BE
BE23,2013,BE
BE23,2014,BE
BE23,2015,BE
BE23,2016,BE
BE23,2017,BE
BE23,2018,BE
BE23,2019,BE
BE23,2020,BE
BE23,2021,BE
BE23,2022,BE
BE23,2023,BE
BE23,2024,BE
BE23,2025,BE
BE24,1986,BE
BE24,1987,BE
BE24,1988,BE
BE24,1989,BE
BE24,1990,BE
BE24,1991,BE
BE24,1992,BE
BE24,1993,BE
BE24,1994,BE
BE24,1995,BE
BE24,1996,BE
BE24,1997,BE
BE24,1998,BE
BE24,1999,BE
BE24,2000,BE
BE24,2001,BE
BE24,2002,BE
BE24,2003,BE
BE24,2004,BE
BE24,2005,BE
BE24,2006,BE
BE24,2007,BE
BE24,2008,BE
BE24,2009,BE
BE24,2010,BE
BE24,2011,BE
BE24,2012,BE
BE24,2013,BE
BE24,2014,BE
BE24,2015,BE
BE24,2016,BE
BE24,2017,BE
BE24,2018,BE
BE24,2019,BE
BE24,2020,BE
BE24,2021,BE
BE24,2022,BE
BE24,2023,BE
BE24,2024,BE
BE24,2025,BE
BE25,1986,BE
BE25,1987,BE
BE25,1988,BE
BE25,1989,BE
BE25,1990,BE
BE25,1991,BE
BE25,1992,BE
BE25,1993,BE
BE25,1994,BE
BE25,1995,BE
BE25,1996,BE
BE25,1997,BE
BE25,1998,BE
BE25,1999,BE
BE25,2000,BE
BE25,2001,BE
BE25,2002,BE
BE25,2003,BE
BE25,2004,BE
BE25,2005,BE
BE25,2006,BE
BE25,2007,BE
BE25,2008,BE
BE25,2009,BE
BE25,2010,BE
BE25,2011,BE
BE25,2012,BE
BE25,2013,BE
BE25,2014,BE
BE25,2015,BE
BE25,2016,BE
BE25,2017,BE
BE25,2018,BE
BE25,2019,BE
BE25,2020,BE
BE25,2021,BE
BE25,2022,BE
BE25,2023,BE
BE25,2024,BE
BE25,2025,BE
BE31,1986,BE
BE31,1987,BE
BE31,1988,BE
BE31,1989,BE
BE31,1990,BE
BE31,1991,BE
BE31,1992,BE
BE31,1993,BE
BE31,1994,BE
