nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
BE33,2021,9.4,59.7,42.4,,108.5
BE33,2022,8.3,59.5,41.5,2.23,111.9
BE33,2023,9.1,57.9,38.6,2.58,112.8
BE33,2024,7,59.5,40.7,,
BE34,2013,7.9,63.3,31.4,0.24,
BE34,2014,8.5,62.4,35.1,0.72,97.7
BE34,2015,9.3,61.3,36.9,0.81,100
BE34,2016,7.8,62.2,35.1,0.27,100.3
BE34,2017,6.7,64.4,37.1,0.28,102.3
BE34,2018,5.4,64.5,38.8,,103.6
BE34,2019,5.4,65.3,40.7,,105.6
BE34,2020,5.1,65.6,42.5,,103.1
BE34,2021,5.6,66.6,44.6,,110.1
BE34,2022,4.8,67.1,42.1,0.16,114.2
BE34,2023,6.5,65,40.4,0.57,114.1
BE34,2024,5.4,66.3,41.8,,
BE35,2013,10.4,57.7,33.5,0.78,
BE35,2014,8.9,60.7,36.7,1.23,98.9
BE35,2015,10.9,57.6,35.3,1.25,100
BE35,2016,9.7,58.4,34.9,0.95,101.4
BE35,2017,7.4,60.9,40.2,1.02,102.5
BE35,2018,8.5,61,39.2,,104.1
BE35,2019,7,60.8,37.7,,105.4
BE35,2020,6.1,61.8,40.8,,102
BE35,2021,7.6,60.7,42.8,,108.4
BE35,2022,7.2,61.6,43.3,1.06,113
BE35,2023,6.6,62.3,44.1,1.09,115.7
BE35,2024,6.8,64.7,42.9,,
BG31,2013,14,54.6,19.4,0.18,
BG31,2014,14.2,55,20.6,0.2,103.3
BG31,2015,12.1,56.1,21.5,0.55,100
BG31,2016,10.6,54.8,19.9,0.47,101.9
BG31,2017,11.3,57.9,19.9,0.45,107.2
BG31,2018,11.3,58.8,20.6,0.49,118.5
BG31,2019,10.6,60.2,19.3,0.41,113.8
BG31,2020,12.7,59.3,20.8,0.39,114.9
BG31,2021,10.9,60,19.8,0.36,121.7
BG31,2022,6.8,62.3,18.8,0.34,120.9
BG31,2023,7.8,61.7,21,0.26,124.4
BG31,2024,9.7,63.5,26.3,,
BG32,2013,15.3,55.5,22,0.15,
BG32,2014,13.2,57.4,22.7,0.15,102
BG32,2015,10.6,60.4,23.5,0.52,100
BG32,2016,9.3,61.5,24.4,0.41,101.3
BG32,2017,6.9,63.7,23,0.38,104.2
BG32,2018,6.7,64.6,25.2,0.32,107.3
BG32,2019,5.1,69.8,26.6,0.34,107.8
BG32,2020,5.7,68.5,26.3,0.35,103.1
BG32,2021,6.7,66.7,26.6,0.31,109.6
BG32,2022,5.8,68,26.3,0.33,117.7
BG32,2023,6,69,26.4,0.34,123.8
BG32,2024,5.3,69,30.8,,
BG33,2013,16.8,56.5,25.2,0.33,
BG33,2014,12.7,59.8,27,0.36,100.1
BG33,2015,10.3,63.1,25.4,0.37,100
BG33,2016,9.8,62.9,25.5,0.51,100.6
BG33,2017,9.4,65.4,26.9,0.48,103.4
BG33,2018,7.4,65.4,25.3,0.43,107.5
BG33,2019,5.9,67.7,23.2,0.51,108.2
BG33,2020,6,67.1,23.3,0.38,101.5
BG33,2021,5.9,68.3,25.9,0.35,106.4
BG33,2022,5.3,71.8,28.7,0.4,113.3
BG33,2023,4.5,72,30.3,0.39,117
BG33,2024,4,74.1,35.9,,
BG34,2013,13,57.5,20.5,0.16,
BG34,2014,11.9,58,20.9,0.26,96.3
BG34,2015,10.4,60.6,21.9,0.33,100
BG34,2016,7.9,62.3,21.8,0.27,108.4
BG34,2017,7,65.7,21.7,0.3,110.7
BG34,2018,5.4,66.8,21.5,0.32,111.6
BG34,2019,3.9,69.8,21.3,0.36,107.3
BG34,2020,4.5,67.6,22.9,0.36,96.8
BG34,2021,5.5,66.5,22.7,0.28,106.5
BG34,2022,4.4,68.9,21.8,0.26,104
BG34,2023,4.6,69.8,22.9,0.27,98.9
BG34,2024,4.9,70.6,27.9,,
BG41,2013,9.8,65,35.1,1.1,
BG41,2014,8.9,66.1,37.5,1.39,96
BG41,2015,6.7,68,38.6,1.49,100
BG41,2016,5.4,68.7,39.4,1.14,102.1
